person_a,person_b,weight
PHIL,RITA,33
LARRY,PHIL,13
LARRY,RITA,13
PHIL,RALPH,7
NED,PHIL,6
NANCY,PHIL,5
DEEJAY,PHIL,4
INSERT,PHIL,4
MARY,PHIL,4
PHIL,STEPHANIE,3
DEEJAY,SIDEKICK,3
CHUBBY MAN,PHIL,3
BUSTER,LARRY,3
BUSTER,PHIL,3
BUSTER,RITA,3
HAWLEY,PHIL,2
BOTH DEEJAYS,DEEJAY,2
BOTH DEEJAYS,PHIL,2
BOTH DEEJAYS,SIDEKICK,2
PHIL,SIDEKICK,2
C LOSE UP - CLOCK,PHIL,2
DEEJAY,HIS POV,2
HIS POV,PHIL,2
LARRY,NED,2
NED,RITA,2
PHIL,PHIL AND SIDEKICK,2
LARRY,WAITER,2
PHIL,WAITER,2
RITA,WAITER,2
GUS,PHIL,2
GUS,RALPH,2
PHIL,THEIR POV,2
NANCY,RITA,2
PHIL,PHIL'S POV,2
PHIL,SAME SCENE - ANOTHER DAY,2
RITA,SAME SCENE - ANOTHER DAY,2
ALEX,CONTESTANT,2
ALEX,PHIL,2
CONTESTANT,PHIL,2
LIBRARIAN,PHIL,2
BUSTER,FIRST OFFICIAL,2
DORIS,FRED,2
DORIS,PHIL,2
DORIS,RITA,2
FRED,PHIL,2
FRED,RITA,2
LATER,PHIL,2
LATER,RITA,2
NURSE,PHIL,2
HAWLEY,RITA,1
HAWLEY,STEPHANIE,1
RITA,STEPHANIE,1
A SIGN,PHIL,1
BOTH DEEJAYS,SIDEK ICK,1
DEEJAY,SIDEK ICK,1
PHIL,SIDEK ICK,1
SIDEK ICK,SIDEKICK,1
B U ST E R,BUSTER,1
B U ST E R,LARRY,1
B U ST E R,PHIL,1
B U ST E R,RITA,1
PATROLMAN,PHIL,1
INSERT,INSERT - A THICK BOOK,1
INSERT,NANCY,1
INSERT - A THICK BOOK,NANCY,1
INSERT - A THICK BOOK,PHIL,1
C LOSE UP - CLOCK,INSERT,1
C LOSE UP - CLOCK,STEPHANIE,1
INSERT,STEPHANIE,1
BOTH DEEJAYS,HIS POV,1
BOTH DEEJAYS,SIDEKICK AND PHIL,1
DEEJAY,SIDEKICK AND PHIL,1
HIS POV,SIDEKICK,1
HIS POV,SIDEKICK AND PHIL,1
PHIL,SIDEKICK AND PHIL,1
SIDEKICK,SIDEKICK AND PHIL,1
PASSERBY,PHIL,1
BUSTER,CLOSE UP - CLOCK,1
BUSTER,NED,1
CLOSE UP - CLOCK,LARRY,1
CLOSE UP - CLOCK,NED,1
CLOSE UP - CLOCK,PHIL,1
CLOSE UP - CLOCK,RITA,1
PHIL,PHIL AND DEEJAY,1
PHIL AND DEEJAY,PHIL AND SIDEKICK,1
PHIL AND DEEJAY,RITA,1
PHIL AND SIDEKICK,RITA,1
INSERT,LARRY,1
INSERT,RITA,1
INSERT,WAITER,1
INSERT,PSYCHOLOGIST,1
INSERT,SCIENTIST,1
PHIL,PSYCHOLOGIST,1
PHIL,SCIENTIST,1
PSYCHOLOGIST,SCIENTIST,1
LITTLE BOY,LITTLE GIRL,1
LITTLE BOY,T EACHER,1
LITTLE BOY,TEACHER,1
LITTLE GIRL,T EACHER,1
LITTLE GIRL,TEACHER,1
T EACHER,TEACHER,1
GUS,V RALPH,1
PHIL,V RALPH,1
RALPH,V RALPH,1
PHIL,POLICE CAR,1
C LOSE UP - CLOCK,DEEJAY,1
